[2026-06-13 16:43:21,621] [INFO]  Bootstrapping cohtmlUISystem
[2026-06-13 16:43:22,556] [INFO]  Coherent Renoir library initialized!
[2026-06-13 16:43:22,556] [INFO]  No default file writer given. Falling back on the default on.
[2026-06-13 16:43:22,556] [INFO]  Initializing COHTML ver. 1.64.0.7
[2026-06-13 16:43:22,573] [INFO]  Virtual allocator was not provided, falling back to the default V8 page allocator
[2026-06-13 16:43:22,583] [INFO]  COHTML library initialized!
[2026-06-13 16:43:23,128] [INFO]  View Id: 0 created.
[2026-06-13 16:43:23,142] [INFO]  UIView 0 url set to assetdb://gameui/index.html
[2026-06-13 16:43:23,609] [INFO]  Initialized rendering resources!
[2026-06-13 16:43:23,610] [INFO]  New render target set 1920x1080
[2026-06-13 16:43:24,199] [INFO]  Unsupported CSS property detected: gap
[2026-06-13 16:43:24,199] [INFO]  Unsupported CSS property detected: gap
[2026-06-13 16:43:24,200] [INFO]  Unsupported CSS property detected: gap
[2026-06-13 16:43:24,200] [INFO]  Unsupported CSS property detected: gap
[2026-06-13 16:43:24,201] [INFO]  Unsupported CSS property detected: word-wrap
[2026-06-13 16:43:24,201] [INFO]  Unsupported CSS property detected: gap
[2026-06-13 16:43:24,201] [INFO]  Unsupported CSS property detected: gap
[2026-06-13 16:43:28,149] [INFO]  Unsupported CSS property detected: shape-rendering
[2026-06-13 16:43:28,150] [WARN]  Unable to parse declaration: image-rendering - optimizeQuality
[2026-06-13 16:43:28,152] [INFO]  Unsupported CSS property detected: text-rendering
[2026-06-13 16:43:56,664] [WARN]  Unable to parse declaration: width - max-content
